,Name,Red,Blue,Green,Hex value
0,red,204,0,0,#cc0000
1,red,203,84,65,#cb4154
2,red,224,49,60,#e03c31
3,red,227,34,0,#e30022
4,red,255,0,8,#ff0800
5,red,255,56,0,#ff0038
6,red,255,64,64,#ff4040
7,red,179,27,27,#b31b1b
8,red,153,0,0,#990000
9,red,164,0,0,#a40000
10,red,194,34,59,#c23b22
11,red,139,0,0,#8b0000
12,red,215,83,10,#d70a53
13,red,128,24,24,#801818
14,red,255,0,40,#ff2800
15,red,206,41,32,#ce2029
16,red,205,92,92,#cd5c5c
17,red,226,44,6,#e2062c
18,red,187,133,51,#bb3385
19,red,199,133,21,#c71585
20,red,174,0,12,#ae0c00
21,red,255,0,69,#ff4500
22,red,219,147,112,#db7093
24,red,255,97,105,#ff6961
25,red,204,51,51,#cc3333
26,red,255,94,53,#ff355e
27,red,255,0,0,#ff0000
28,red,255,73,83,#ff5349
29,red,165,42,42,#a52a2a
31,red,253,53,14,#fd0e35
32,red,102,77,66,#66424d
33,red,217,76,0,#d9004c
34,red,174,41,32,#ae2029
35,red,200,21,8,#c80815
36,red,247,148,83,#f75394
37,yellow,233,107,214,#e9d66b
38,yellow,255,53,225,#ffe135
39,yellow,255,0,246,#fff600
40,yellow,255,0,239,#ffef00
41,yellow,255,0,167,#ffa700
42,yellow,225,95,169,#e1a95f
43,yellow,255,0,255,#ffff00
44,yellow,204,0,255,#ccff00
45,yellow,255,0,223,#ffdf00
46,yellow,173,47,255,#adff2f
48,yellow,227,87,168,#e3a857
49,yellow,255,79,244,#fff44f
50,yellow,250,210,250,#fafad2
51,yellow,255,237,255,#ffffed
52,yellow,255,12,196,#ffc40c
53,yellow,250,94,218,#fada5e
54,yellow,248,104,213,#f8d568
55,yellow,253,150,253,#fdfd96
56,yellow,250,173,223,#fadfad
57,yellow,255,0,216,#ffd800
58,yellow,255,0,186,#ffba00
60,yellow,255,0,204,#ffcc00
61,yellow,238,0,230,#eee600
62,yellow,255,102,255,#ffff66
64,yellow,255,66,174,#ffae42
65,yellow,154,50,205,#9acd32
66,green,164,57,198,#a4c639
67,green,141,0,182,#8db600
68,green,75,32,83,#4b5320
69,green,13,186,152,#0d98ba
70,green,0,78,106,#006a4e
71,green,102,0,255,#66ff00
72,green,0,37,66,#004225
73,green,0,60,107,#006b3c
74,green,30,43,77,#1e4d2b
75,green,120,107,134,#78866b
76,green,0,153,204,#00cc99
77,green,1,32,50,#013220
78,green,26,33,36,#1a2421
79,green,85,47,107,#556b2f
80,green,3,60,192,#03c03c
81,green,143,143,188,#8fbc8f
82,green,23,69,114,#177245
83,green,0,62,105,#00693e
84,green,0,73,75,#004b49
85,green,0,0,255,#00ff00
86,green,79,66,121,#4f7942
87,green,34,34,139,#228b22
89,green,17,180,100,#1164b4
91,green,0,127,255,#00ff7f
92,green,73,107,121,#49796b
93,green,53,59,94,#355e3b
94,green,19,8,136,#138808
95,green,0,0,144,#009000
96,green,41,135,171,#29ab87
97,green,76,23,187,#4cbb17
98,green,8,48,120,#087830
99,green,169,157,186,#a9ba9d
100,green,124,0,252,#7cfc00
101,green,144,144,238,#90ee90
102,green,32,170,178,#20b2aa
103,green,50,50,205,#32cd32
104,green,25,5,89,#195905
105,green,24,59,69,#18453b
106,green,28,45,53,#1c352d
107,green,60,113,179,#3cb371
108,green,0,154,250,#00fa9a
109,green,0,83,73,#004953
110,green,152,152,255,#98ff98
111,green,173,173,223,#addfad
